Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
ED05|IRISDMC|YR|42.48349|13.36486|0.2099552424837117|146.7106865766949|1187|ORTOLANO
T1217|INGV|IV|42.711902|12.931333|0.21054361813128916|-75.38184620160305|1004|Poggiodomo PG
ED09|IRISDMC|YR|42.800129|13.42367|0.21177262781552955|48.17221486756159|466|FORCELLA
ED02|IRISDMC|YR|42.603512|12.92884|0.21320117054947868|-105.01862296694584|831|PULCINI
T1246|INGV|IV|42.58331|13.49295|0.2225411965652895|109.8150450771846|1134|Crognaleto
ED12|IRISDMC|YR|42.80637|12.97723|0.2248789376677266|-49.010597898550195|1127|CORTIGNO
T1247|INGV|IV|42.44157|13.29834|0.2273539344857335|163.0649872934859|836|Pizzoli
ED08|IRISDMC|YR|42.458881|13.0542|0.2302643984916609|-150.3503672072522|1016|MICIGLIANO
MC2|INGV|IV|42.911418|13.188976|0.25272869583917207|-3.260198284446685|2|Monte Cornaccione
MMO1|INGV|IV|42.899333|13.326833|0.25542642732458914|19.82128897512328|957|Montemonaco
T1241|INGV|IV|42.85635|13.43116|0.25614532463656686|39.56432411162016|664|Roccafluvione, Frazione Osoli  Ascoli Piceno
ED19|IRISDMC|YR|42.919621|13.13916|0.2654580779184007|-11.043971859534166|1223|SAN PLACIDO
T1216|INGV|IV|42.890667|13.019|0.27017016615155576|-30.9415037322075|620|Castelvecchio PG
ED14|IRISDMC|YR|42.444881|13.43313|0.2706434174383691|142.25151373680958|1230|VASTO
T1215|INGV|IV|42.80188|12.868511|0.2877373190551511|-60.13473567760775|695|Reggiano PG
ED15|IRISDMC|YR|42.527802|13.55816|0.28889681950695256|116.9131187325686|1012|PIETRACAMELA
T1211|INGV|IV|42.532852|12.855145|0.2892045623296961|-115.7633055234743|979|Morro Reatino RI
TERO|INGV|IV|42.62279|13.60393|0.293067715003356|96.98308806330142|673|TERAMO
T0104|INGV|IV|42.3599|13.3382|0.3140824919479715|162.2475463673486|754|Madonna delle Grazie (Coppito) - AQ
ED17|IRISDMC|YR|42.965851|13.30855|0.3153920948984834|13.409018783377908|815|PIEDIVALLE
